time,"water_level (m, NAVD88)",qc_water_level
6/2/23 20:20,0.7789434,0
6/2/23 20:25,0.8170434,0
6/2/23 20:30,0.8548134,0
6/2/23 20:35,0.9048534,0
6/2/23 20:40,0.9399334,0
6/2/23 20:45,0.9797934,0
6/2/23 20:50,1.0139734,0
6/2/23 20:55,1.0670934,0
6/2/23 21:00,1.1101234,0
6/2/23 21:05,1.1521834,0
6/2/23 21:10,1.1809534,0
6/2/23 21:15,1.2312634,0
6/2/23 21:20,1.2554934,0
6/2/23 21:25,1.3086434,0
6/2/23 21:30,1.3243034,0
6/2/23 21:35,1.3651434,0
6/2/23 21:40,1.4014834,0
6/2/23 21:45,1.4190734,0
6/2/23 21:50,1.4604334,0
6/2/23 21:55,1.4968134,0
6/2/23 22:00,1.5087334,0
6/2/23 22:05,1.5337734,0
6/2/23 22:10,1.5626934,0
6/2/23 22:15,1.5786034,0
6/2/23 22:20,1.6033734,0
6/2/23 22:25,1.6261334,0
6/2/23 22:30,1.6378934,0
6/2/23 22:35,1.6660934,0
6/2/23 22:40,1.6794234,0
6/2/23 22:45,1.6935634,0
6/2/23 22:50,1.7135334,0
6/2/23 22:55,1.7272034,0
6/2/23 23:00,1.7373234,0
6/2/23 23:05,1.7471834,0
6/2/23 23:10,1.7643534,0
6/2/23 23:15,1.7623134,0
6/2/23 23:20,1.7703334,0
6/2/23 23:25,1.7824434,0
6/2/23 23:30,1.7714934,0
6/2/23 23:35,1.7767834,0
6/2/23 23:40,1.7780434,0
6/2/23 23:45,1.7734734,0
6/2/23 23:50,1.7774134,0
6/2/23 23:55,1.7755334,0
6/3/23 0:00,1.7690934,0
6/3/23 0:05,1.7633734,0
6/3/23 0:10,1.7686934,0
6/3/23 0:15,1.7738134,0
6/3/23 0:20,1.7642434,0
6/3/23 0:25,1.7597434,0
6/3/23 0:30,1.7618134,0
6/3/23 0:35,1.7716234,0
6/3/23 0:40,1.7678234,0
6/3/23 0:45,1.7700334,0
6/3/23 0:50,1.7701934,0
6/3/23 0:55,1.7687934,0
6/3/23 1:00,1.7758034,0
6/3/23 1:05,1.7617434,0
6/3/23 1:10,1.7643634,0
6/3/23 1:15,1.7496534,0
6/3/23 1:20,1.7469334,0
6/3/23 1:25,1.7382334,0
6/3/23 1:30,1.7329034,0
6/3/23 1:35,1.7185834,0
6/3/23 1:40,1.7189334,0
6/3/23 1:45,1.7009334,0
6/3/23 1:50,1.7105734,0
6/3/23 1:55,1.7077734,0
6/3/23 2:00,1.6923634,0
6/3/23 2:05,1.6877134,0
6/3/23 2:10,1.6817434,0
6/3/23 2:15,1.6793034,0
6/3/23 2:20,1.6747434,0
6/3/23 2:25,1.6726234,0
6/3/23 2:30,1.6706534,0
6/3/23 2:35,1.6625534,0
6/3/23 2:40,1.6657434,0
6/3/23 2:45,1.6604834,0
6/3/23 2:50,1.6609334,0
6/3/23 2:55,1.6490834,0
6/3/23 3:00,1.6386434,0
6/3/23 3:05,1.6332534,0
6/3/23 3:10,1.6269634,0
6/3/23 3:15,1.6139934,0
6/3/23 3:20,1.6026934,0
6/3/23 3:25,1.5866634,0
6/3/23 3:30,1.5735634,0
6/3/23 3:35,1.5572534,0
6/3/23 3:40,1.5583934,0
6/3/23 3:45,1.5442934,0
6/3/23 3:50,1.5435034,0
6/3/23 3:55,1.5368034,0
6/3/23 4:00,1.5364334,0
6/3/23 4:05,1.5283534,0
6/3/23 4:10,1.5376834,0
6/3/23 4:15,1.5321434,0
6/3/23 4:20,1.5368434,0
6/3/23 4:25,1.5355134,0
6/3/23 4:30,1.5412334,0
6/3/23 4:35,1.5583934,0
6/3/23 4:40,1.5678734,0
6/3/23 4:45,1.5788634,0
6/3/23 4:50,1.5953534,0
6/3/23 4:55,1.6007834,0
6/3/23 5:00,1.6167734,0
6/3/23 5:05,1.6388934,0
6/3/23 5:10,1.6468734,0
6/3/23 5:15,1.6666234,0
6/3/23 5:20,1.6822534,0
6/3/23 5:25,1.6939534,0
6/3/23 5:30,1.7063134,0
6/3/23 5:35,1.7277934,0
6/3/23 5:40,1.7448834,0
6/3/23 5:45,1.7555534,0
6/3/23 5:50,1.7717234,0
6/3/23 5:55,1.7926334,0
6/3/23 6:00,1.8005234,0
6/3/23 6:05,1.8224534,0
6/3/23 6:10,1.8339334,0
6/3/23 6:15,1.8490034,0
6/3/23 6:20,1.8656034,0
6/3/23 6:25,1.8798434,0
6/3/23 6:30,1.8917334,0
6/3/23 6:35,1.9039334,0
6/3/23 6:40,1.9192334,0
6/3/23 6:45,1.9285034,0
6/3/23 6:50,1.9423434,0
6/3/23 6:55,1.9438434,0
6/3/23 7:00,1.9540034,0
6/3/23 7:05,1.9719934,0
6/3/23 7:10,1.9771434,0
6/3/23 7:15,1.9846234,0
6/3/23 7:20,1.9931734,0
6/3/23 7:25,2.0033234,0
6/3/23 7:30,2.0142734,0
6/3/23 7:35,2.0256934,0
6/3/23 7:40,2.0305134,0
6/3/23 7:45,2.0397234,0
6/3/23 7:50,2.0426834,0
6/3/23 7:55,2.0521834,0
6/3/23 8:00,2.0562734,0
6/3/23 8:05,2.0760434,0
6/3/23 8:10,2.0842734,0
6/3/23 8:15,2.0876734,0
6/3/23 8:20,2.0985434,0
6/3/23 8:25,2.1032834,0
6/3/23 8:30,2.1165434,0
6/3/23 8:35,2.1144334,0
6/3/23 8:40,2.1223434,0
6/3/23 8:45,2.1336034,0
6/3/23 8:50,2.1369134,0
6/3/23 8:55,2.1360834,0
6/3/23 9:00,2.1309334,0
6/3/23 9:05,2.1452134,0
6/3/23 9:10,2.1458834,0
6/3/23 9:15,2.1363134,0
6/3/23 9:20,2.1415034,0
6/3/23 9:25,2.1270234,0
6/3/23 9:30,2.1197834,0
6/3/23 9:35,2.1144934,0
6/3/23 9:40,2.0935834,0
6/3/23 9:45,2.1088534,0
6/3/23 9:50,2.0815634,0
6/3/23 9:55,2.0612834,0
6/3/23 10:00,2.0487534,0
6/3/23 10:05,2.0322934,0
6/3/23 10:10,2.0302834,0
6/3/23 10:15,1.9965734,0
6/3/23 10:20,1.9833834,0
6/3/23 10:25,1.9593134,0
6/3/23 10:30,1.9327434,0
6/3/23 10:35,1.9216034,0
6/3/23 10:40,1.8997934,0
6/3/23 10:45,1.8790334,0
6/3/23 10:50,1.8563934,0
6/3/23 10:55,1.8400534,0
6/3/23 11:00,1.8051334,0
6/3/23 11:05,1.7811334,0
6/3/23 11:10,1.7500534,0
6/3/23 11:15,1.7253834,0
6/3/23 11:20,1.6983734,0
6/3/23 11:25,1.6693234,0
6/3/23 11:30,1.6320834,0
6/3/23 11:35,1.5998334,0
6/3/23 11:40,1.5677434,0
6/3/23 11:45,1.5282234,0
6/3/23 11:50,1.4955334,0
6/3/23 11:55,1.4561734,0
6/3/23 12:00,1.4141534,0
6/3/23 12:05,1.3729134,0
6/3/23 12:10,1.3362934,0
6/3/23 12:15,1.2962834,0
6/3/23 12:20,1.2567934,0
